DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,Action,Moving_Average,Exponential_Moving_Average,Return_Rate
20151118,1966.0,2010.0,1966.0,1991.0,1183545,1990.0,1.0,2040.4285714285713,2035.8528086948588,0.0005025125628140704
20151121,1980.0,2006.0,1970.0,1984.0,2272593,1991.0,1.0,2026.142857142857,2024.6822469558872,-0.0035158211953792064
20151122,1967.0,1983.0,1950.0,1970.0,945273,1984.0,1.0,2004.4285714285713,2013.14579756471,-0.007056451612903226
20151123,1960.0,1984.0,1951.0,1964.0,943077,1970.0,1.0,1991.5714285714287,2002.516638051768,-0.003045685279187817
20151124,1950.0,1979.0,1939.0,1961.0,1150829,1964.0,1.0,1980.142857142857,1992.0133104414144,-0.0015274949083503055
20151125,1960.0,2059.0,1943.0,2037.0,5557490,1961.0,1.0,1971.142857142857,1985.6106483531316,0.038755736868944415
20151128,2080.0,2080.0,1980.0,2003.0,2807212,2037.0,1.0,1980.4285714285713,2004.4885186825054,-0.016691212567501227
20151129,1983.0,2050.0,1981.0,2001.0,1003661,2003.0,1.0,1982.857142857143,2000.1908149460046,-0.000998502246630055
20151130,1999.0,2029.0,1963.0,1996.0,1118960,2001.0,1.0,1985.5714285714287,1999.9526519568037,-0.0024987506246876563
20151201,2000.0,2022.0,1962.0,1984.0,756896,1996.0,1.0,1990.2857142857142,1999.962121565443,-0.006012024048096192
20151205,1956.0,2010.0,1956.0,1987.0,906007,1984.0,1.0,1989.7142857142858,1991.1696972523546,0.0015120967741935483
20151206,1979.0,2015.0,1940.0,1973.0,1779113,1987.0,1.0,1993.857142857143,1988.7357578018837,-0.007045797684952189
20151207,2029.0,2050.0,1970.0,2037.0,4448935,1973.0,1.0,2003.7142857142858,1996.788606241507,0.03243791180942727
20151208,2019.0,2039.0,1980.0,2005.0,1180569,2037.0,1.0,1995.0,2001.2308849932058,-0.015709376534118802
20151209,2033.0,2033.0,1983.0,2009.0,329793,2005.0,1.0,2002.142857142857,2007.5847079945647,0.00199501246882793
20151213,1991.0,1991.0,1909.0,1920.0,3680219,2009.0,1.0,2001.0,2004.267766395652,-0.04430064708810354
20151214,1909.0,1932.0,1889.0,1923.0,1108712,1920.0,1.0,1988.0,1985.2142131165217,0.0015625
20151215,1904.0,1953.0,1904.0,1932.0,1278145,1923.0,1.0,1980.5714285714287,1968.9713704932174,0.0046801872074883
20151216,1946.0,1950.0,1895.0,1920.0,1243533,1932.0,1.0,1975.857142857143,1964.377096394574,-0.006211180124223602
20151219,1914.0,1921.0,1824.0,1835.0,1670626,1920.0,1.0,1959.4285714285713,1954.3016771156592,-0.044270833333333336
20151220,1794.0,1805.0,1744.0,1753.0,2550086,1835.0,1.0,1927.2857142857142,1922.2413416925274,-0.0446866485013624
20151221,1700.0,1840.0,1700.0,1816.0,2135539,1753.0,1.0,1879.7142857142858,1877.793073354022,0.03593839132915003
20151222,1816.0,1816.0,1726.0,1751.0,1765472,1816.0,1.0,1854.7142857142858,1865.4344586832178,-0.03579295154185022
20151223,1790.0,1790.0,1735.0,1745.0,721227,1751.0,1.0,1837.7142857142858,1850.3475669465743,-0.0034266133637921186
20151226,1742.0,1760.0,1721.0,1744.0,1478055,1745.0,1.0,1814.5714285714287,1828.6780535572595,-0.0005730659025787965
20151227,1730.0,1810.0,1675.0,1746.0,5106413,1744.0,1.0,1783.7142857142858,1808.9424428458078,0.0011467889908256881
20151228,1799.0,1833.0,1764.0,1813.0,4394443,1746.0,1.0,1767.2857142857142,1806.9539542766463,0.03837342497136312
20151230,1903.0,1903.0,1900.0,1903.0,2723493,1813.0,1.0,1782.857142857143,1826.1631634213172,0.049641478212906785
20160102,1998.0,1998.0,1970.0,1998.0,5996958,1903.0,1.0,1825.4285714285713,1860.530530737054,0.049921177088807146
20160103,1998.0,2097.0,1956.0,2065.0,14907913,1998.0,1.0,1851.4285714285713,1888.0244245896433,0.033533533533533534
20160104,2070.0,2168.0,2065.0,2150.0,10536120,2065.0,1.0,1891.4285714285713,1924.4195396717148,0.04116222760290557
20160105,2151.0,2246.0,2150.0,2195.0,6885646,2150.0,1.0,1949.857142857143,1969.735631737372,0.020930232558139535
20160106,2200.0,2230.0,2090.0,2152.0,5542865,2195.0,1.0,2017.0,2015.7885053898976,-0.01958997722095672
20160109,2140.0,2140.0,2045.0,2057.0,4752920,2152.0,1.0,2065.714285714286,2040.6308043119182,-0.04414498141263941
20160110,2000.0,2148.0,1972.0,2078.0,4606316,2057.0,1.0,2079.5714285714284,2032.5046434495346,0.010209042294603793
20160111,2124.0,2181.0,2124.0,2179.0,8126101,2078.0,1.0,2097.5714285714284,2050.803714759628,0.04860442733397498
20160112,2210.0,2270.0,2144.0,2209.0,5208228,2179.0,1.0,2127.8571428571427,2082.6429718077025,0.013767783386874713
20160113,2186.0,2280.0,2165.0,2240.0,4030823,2209.0,1.0,2144.4285714285716,2103.3143774461623,0.01403349932095971
20160116,2283.0,2352.0,2283.0,2348.0,7317309,2240.0,1.0,2163.285714285714,2139.25150195693,0.048214285714285716
20160117,2460.0,2460.0,2240.0,2333.0,9278471,2348.0,1.0,2200.4285714285716,2203.4012015655444,-0.006388415672913117
20160118,2359.0,2449.0,2219.0,2395.0,17826279,2333.0,1.0,2231.714285714286,2234.520961252436,0.02657522503214745
20160119,2514.0,2514.0,2514.0,2514.0,2025886,2395.0,1.0,2305.1428571428573,2290.416769001949,0.049686847599164925
20160120,2637.0,2639.0,2564.0,2638.0,20164627,2514.0,1.0,2378.4285714285716,2359.733415201559,0.049323786793953855
20160123,2670.0,2769.0,2600.0,2717.0,10048962,2638.0,1.0,2444.1428571428573,2421.7867321612475,0.029946929492039424
20160124,2758.0,2798.0,2640.0,2685.0,8759665,2717.0,1.0,2525.8571428571427,2489.029385728998,-0.011777695988222304
20160125,2599.0,2819.0,2582.0,2749.0,16877056,2685.0,1.0,2571.0,2511.0235085831987,0.023836126629422718
20160126,2820.0,2886.0,2800.0,2883.0,20990990,2749.0,1.0,2622.4285714285716,2572.818806866559,0.04874499818115678
20160127,3010.0,3021.0,2831.0,2963.0,12432331,2883.0,1.0,2715.4285714285716,2660.2550454932475,0.02774887270204648
